total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
0.3,0.1,0.1,0.1,4.6,0.8,1.3,2.1,CAS004_CAS0000323_stacked_02_H
0.2,0.0,0.1,0.1,4.2,0.7,1.0,1.8,CAS004_CAS0000289_stacked_02_H
0.2,0.1,0.1,0.1,4.7,0.9,1.1,1.8,CAS002_CAS0000177_stacked_02_H
0.2,0.1,0.1,0.0,4.2,1.0,1.2,1.2,CAS003_CAS0000222_stacked_01_H
0.3,0.1,0.2,0.1,4.1,0.8,0.9,1.4,CAS004_CAS0000345_stacked_02_H
0.4,0.1,0.2,0.1,4.9,0.9,0.7,1.5,CAS004_CAS0000331_stacked_01_H
0.2,0.1,0.0,0.1,7.4,1.6,1.4,3.1,CAS003_CAS0000218_stacked_02_H
0.3,0.0,0.1,0.1,5.2,0.8,1.4,2.4,CAS003_CAS0000256_stacked_02_H
0.4,0.1,0.2,0.1,6.4,1.5,1.2,2.6,CAS005_CAS0000397_stacked_01_H
0.4,0.1,0.2,0.1,3.9,0.7,1.3,1.7,CAS003_CAS0000275_stacked_01_H
0.3,0.1,0.1,0.1,4.6,1.1,1.2,1.6,CAS004_CAS0000312_stacked_02_H
0.3,0.1,0.1,0.1,4.6,0.9,0.9,1.8,CAS005_CAS0000414_stacked_01_H
0.4,0.1,0.2,0.1,4.3,0.7,0.7,1.7,CAS004_CAS0000366_stacked_01_H
0.3,0.1,0.1,0.1,3.5,0.9,1.2,1.2,CAS004_CAS0000328_stacked_01_H
0.3,0.1,0.1,0.1,5.0,1.2,1.1,2.0,CAS003_CAS0000201_stacked_02_H
0.4,0.1,0.2,0.2,5.5,1.1,1.8,2.3,CAS003_CAS0000229_stacked_02_H
0.2,0.1,0.1,0.1,4.8,1.0,0.7,2.0,CAS003_CAS0000194_stacked_01_H
0.4,0.1,0.2,0.1,4.2,0.9,1.2,2.0,CAS004_CAS0000300_stacked_01_H
0.4,0.0,0.2,0.1,4.6,0.7,1.7,1.7,CAS003_CAS0000267_stacked_02_H
0.3,0.1,0.1,0.1,4.4,0.8,1.2,1.7,CAS003_CAS0000213_stacked_01_H
0.4,0.0,0.2,0.1,4.3,0.8,0.9,1.8,CAS005_CAS0000406_stacked_02_H
0.3,0.1,0.2,0.1,4.4,0.9,1.6,1.7,CAS004_CAS0000374_stacked_02_H
0.3,0.1,0.2,0.1,4.1,1.0,1.0,1.8,CAS004_CAS0000290_stacked_02_H
0.4,,0.1,0.3,3.8,,1.2,2.5,CAS004_CAS0000326_stacked_02_H
0.3,0.0,0.1,0.1,4.0,0.8,0.8,1.5,CAS004_CAS0000368_stacked_02_H
0.1,,0.1,0.0,3.1,,1.3,1.2,CAS003_CAS0000241_stacked_01_H
0.4,0.1,0.1,0.2,3.8,0.9,1.3,1.2,CAS003_CAS0000235_stacked_02_H
0.2,0.1,0.1,0.1,4.4,0.9,0.6,2.0,CAS002_CAS0000160_stacked_01_H
0.3,0.1,0.2,0.0,4.2,0.9,0.8,1.5,CAS004_CAS0000352_stacked_01_H
0.3,0.1,0.1,0.1,3.9,0.9,1.4,1.4,CAS005_CAS0000420_stacked_01_H
0.4,0.1,0.2,0.0,4.3,1.0,1.4,1.7,CAS005_CAS0000392_stacked_01_H
0.4,0.1,0.2,0.1,4.5,0.9,1.7,1.8,CAS005_CAS0000408_stacked_01_H
0.3,0.1,0.1,0.2,4.8,1.0,0.8,2.2,CAS003_CAS0000253_stacked_02_H
0.4,0.1,0.3,,1.7,0.8,0.8,,CAS004_CAS0000334_stacked_01_H
0.2,0.1,0.1,0.1,3.5,0.9,1.3,1.3,CAS003_CAS0000269_stacked_01_H
0.4,0.0,0.2,0.2,4.5,0.5,1.0,2.2,CAS004_CAS0000340_stacked_02_H
0.3,0.1,0.1,0.0,3.3,0.7,1.3,1.1,CAS003_CAS0000227_stacked_01_H
0.3,0.1,0.2,,1.8,1.0,0.8,,CAS003_CAS0000283_stacked_02_H
0.4,0.0,0.1,0.3,4.5,0.6,1.4,2.3,CAS002_CAS0000175_stacked_01_H
0.8,0.2,0.3,0.3,6.8,1.4,2.4,2.7,CAS003_CAS0000220_stacked_02_H
0.2,0.0,0.1,0.1,4.5,0.5,1.3,2.1,CAS004_CAS0000309_stacked_01_H
0.4,0.1,0.3,0.1,5.1,1.0,2.0,1.9,CAS004_CAS0000347_stacked_01_H
0.3,0.1,0.1,0.1,3.8,0.9,1.1,1.5,CAS003_CAS0000284_stacked_01_H
0.4,0.1,0.3,0.1,4.4,0.9,0.8,1.3,CAS004_CAS0000299_stacked_02_H
0.3,0.1,0.2,0.1,5.0,1.0,1.2,1.9,CAS004_CAS0000333_stacked_02_H
0.3,0.0,0.1,0.1,5.0,0.7,1.5,2.3,CAS003_CAS0000254_stacked_01_H
0.3,0.1,0.0,0.2,6.9,1.5,1.1,2.9,CAS005_CAS0000395_stacked_02_H
0.3,0.1,0.1,0.2,5.7,1.1,1.7,3.9,CAS004_CAS0000355_stacked_02_H
0.2,0.1,0.1,0.1,4.5,1.0,1.2,1.7,CAS002_CAS0000167_stacked_02_H
0.3,0.1,0.2,0.0,3.4,0.7,1.0,0.8,CAS003_CAS0000232_stacked_01_H
0.3,0.1,0.1,0.1,5.4,1.1,1.1,2.2,CAS003_CAS0000246_stacked_02_H
0.3,0.1,0.1,0.1,4.3,0.9,1.1,1.8,CAS005_CAS0000387_stacked_01_H
0.3,0.1,0.1,0.0,4.1,0.9,1.3,1.2,CAS004_CAS0000321_stacked_01_H
0.3,0.1,0.1,0.1,4.6,0.8,1.5,2.1,CAS003_CAS0000208_stacked_02_H
0.3,0.2,0.2,,2.5,1.2,1.3,,CAS004_CAS0000373_stacked_01_H
0.5,0.1,0.2,0.2,5.7,1.3,1.9,2.4,CAS005_CAS0000401_stacked_01_H
0.5,0.2,0.1,0.2,5.9,1.2,1.8,2.1,CAS003_CAS0000214_stacked_02_H
0.4,0.0,0.1,0.3,4.3,0.6,1.2,1.9,CAS004_CAS0000297_stacked_01_H
0.4,0.1,0.2,0.2,5.2,0.8,1.5,2.4,CAS003_CAS0000260_stacked_01_H
0.3,0.1,0.1,0.1,4.3,0.9,0.9,1.2,CAS004_CAS0000349_stacked_02_H
0.2,0.0,0.1,0.1,4.2,0.8,1.1,1.6,CAS003_CAS0000193_stacked_02_H
